TC ID,Test Case Name,Input,Expected Output,Actual Output,Status (PASS/FAIL),Remarks,What is covered by the test
"Pos_Fun_0018","English Technical Terms","Google ekee search karanna","Google එකේ search කරන්න","Google එකේ search කරන්න",PASS,"","Mixed Singlish + English · Simple sentence · M · Accuracy validation"
"Pos_Fun_0019","Places and Names","api heta udhee Kandy gihin dhaLadhaa Maaligaava vaeDHA ganna yanavaa","අපි හෙට උදේ Kandy ගිහින් දළදා මාලිගාව වැඳ ගන්න යනවා","අපි හෙට උදේ Kandy ගිහින් දළදා මාලිගාව වැඳ ගන්න යනවා",PASS,"","Names / places / common English words · Simple sentence · M · Accuracy validation"
"Pos_Fun_0020","English Abbreviations","mata PDF eka evanna","මට PDF එක එවන්න","මට PDF එක එවන්න",PASS,"","Mixed Singlish + English · Simple sentence · S · Accuracy validation"
"Pos_Fun_0021","Punctuation Input","wow! maru nee?","wow! මරු නේ?","wow! මරු නේ?",PASS,"","Punctuation / numbers · Simple sentence · S · Accuracy validation"
"Pos_Fun_0022","Currency and Units","Rs. 1500 saha haal 5kg","Rs. 1500 සහ හාල් 5kg","Rs. 1500 සහ හාල් 5kg",PASS,"","Punctuation / numbers · Simple sentence · S · Accuracy validation"
"Pos_Fun_0001","Simple positive statement","mata bath kanna oonee","මට බත් කන්න ඕනේ","මට බත් කන්න ඕනේ",PASS,"","Daily language usage · Simple sentence · S · Accuracy validation"
"Pos_Fun_0002","Compound Sentence","naQQgi thee bonavaa, eeth malli kiri bonavaa","නංගි තේ බොනවා, ඒත් මල්ලි කිරි බොනවා","නංගි තේ බොනවා, ඒත් මල්ලි කිරි බොනවා",PASS,"","Daily language usage · Compound sentence · S · Accuracy validation"
"Pos_Fun_0003","Complex Sentence","api parakku unoth bas eka yaavi","අපි පරක්කු උනොත් බස් එක යාවි","අපි පරක්කු උනොත් බස් එක යාවි",PASS,"","Daily language usage · Complex sentence · S · Accuracy validation"
"Pos_Fun_0004","Interrogative Question","oyaa adha raeeta monavadha kannee kiyalaa mata kiyanna puluvandha?","ඔයා අද රෑට මොනවද කන්නේ කියලා මට කියන්න පුලුවන්ද?","ඔයා අද රෑට මොනවද කන්නේ කියලා මට කියන්න පුලුවන්ද?",PASS,"","Daily language usage · Interrogative (question) · M · Accuracy validation"
"Pos_Fun_0005","Imperative Command","poth balanna epaa","පොත් බලන්න එපා","පොත් බලන්න එපා",PASS,"","Daily language usage · Imperative (command) · S · Accuracy validation"
"Pos_Fun_0006","Negative Sentence","dharuvaa kiri bonnee naee","දරුවා කිරි බොන්නේ නෑ","දරුවා කිරි බොන්නේ නෑ",PASS,"","Daily language usage · Negation (negative form) · S · Accuracy validation"
"Pos_Fun_0007","Greeting","suBha raathriyak","සුභ රාත්‍රියක්","සුභ රාත්‍රියක්",PASS,"","Greeting / request / response · Simple sentence · S · Accuracy validation"
"Pos_Fun_0008","Polite Request","mata vathura ekak dhenna puluvandha","මට වතුර එකක් දෙන්න පුලුවන්ද","මට වතුර එකක් දෙන්න පුලුවන්ද",PASS,"","Greeting / request / response · Interrogative (question) · S · Accuracy validation"
"Pos_Fun_0009","Simple Response","ov mama ennam","ඔව් මම එන්නම්","ඔව් මම එන්නම්",PASS,"","Greeting / request / response · Simple sentence · S · Accuracy validation"
"Pos_Fun_0010","Collocation","magee adha dhavasee vaeda okkoma ivarayi, mama dhaen gedhara yanavaa.","මගේ අද දවසේ වැඩ ඔක්කොම ඉවරයි, මම දැන් ගෙදර යනවා.","මගේ අද දවසේ වැඩ ඔක්කොම ඉවරයි, මම දැන් ගෙදර යනවා.",PASS,"","Word combination / phrase pattern · Simple sentence · M · Accuracy validation"
"Pos_Fun_0011","Joined Words","mamapothakkiyavanavaa","මමපොතක්කියවනවා","මමපොතක්කියවනවා",PASS,"","Typographical error handling · Simple sentence · S · Robustness validation"
"Pos_Fun_0012","Repeated Words for Emphasis","veegen veegen","වේගෙන් වේගෙන්","වේගෙන් වේගෙන්",PASS,"","Word combination / phrase pattern · Simple sentence · S · Accuracy validation"
"Pos_Fun_0013","Past Tense","api maech eka baeluvaa","අපි මැච් එක බැලුවා","අපි මැච් එක බැලුවා",PASS,"","Daily language usage · Past tense · S · Accuracy validation"
"Pos_Fun_0014","Present Tense","mama dhaen paadam karanavaa","මම දැන් පාඩම් කරනවා","මම දැන් පාඩම් කරනවා",PASS,"","Daily language usage · Present tense · S · Accuracy validation"
"Pos_Fun_0015","Future Tense","api maech eka balamu","අපි මැච් එක බලමු","අපි මැච් එක බලමු",PASS,"","Daily language usage · Future tense · S · Accuracy validation"
"Pos_Fun_0016","Plural Usage","paaree inna balloo okkoma ekata buranavaa, eeka nisaa mata baya hithunaa.","පාරේ ඉන්න බල්ලෝ ඔක්කොම එකට බුරනවා, ඒක නිසා මට බය හිතුනා.","පාරේ ඉන්න බල්ලෝ ඔක්කොම එකට බුරනවා, ඒක නිසා මට බය හිතුනා.",PASS,"","Daily language usage · Plural form · M · Accuracy validation"
"Pos_Fun_0017","High Politeness","karuNaakara mata ida dhenna","කරුණාකර මට ඉඩ දෙන්න","කරුණාකර මට ඉඩ දෙන්න",PASS,"","Greeting / request / response · Imperative (command) · S · Accuracy validation"
"Pos_Fun_0018","English Technical Terms","Google ekee search karanna","Google එකේ search කරන්න","Google එකේ search කරන්න",PASS,"","Mixed Singlish + English · Simple sentence · M · Accuracy validation"
"Pos_Fun_0019","Places and Names","api heta udhee Kandy gihin dhaLadhaa Maaligaava vaeDHA ganna yanavaa","අපි හෙට උදේ Kandy ගිහින් දළදා මාලිගාව වැඳ ගන්න යනවා","අපි හෙට උදේ Kandy ගිහින් දළදා මාලිගාව වැඳ ගන්න යනවා",PASS,"","Names / places / common English words · Simple sentence · M · Accuracy validation"
"Pos_Fun_0020","English Abbreviations","mata PDF eka evanna","මට PDF එක එවන්න","මට PDF එක එවන්න",PASS,"","Mixed Singlish + English · Simple sentence · S · Accuracy validation"
"Pos_Fun_0021","Punctuation Input","wow! maru nee?","wow! මරු නේ?","wow! මරු නේ?",PASS,"","Punctuation / numbers · Simple sentence · S · Accuracy validation"
"Pos_Fun_0022","Currency and Units","Rs. 1500 saha haal 5kg","Rs. 1500 සහ හාල් 5kg","Rs. 1500 සහ හාල් 5kg",PASS,"","Punctuation / numbers · Simple sentence · S · Accuracy validation"
"Pos_Fun_0023","Slang Usage","patta nee","පට්ට නේ","පට්ට නේ",PASS,"","Slang / informal language · Simple sentence · S · Accuracy validation"
"Pos_Fun_0024","Multiple Spaces","api   heta   udhee   kiri   vehera   vaeDHA   ganna   yanna   oona","අපි   හෙට   උදේ   කිරි   වෙහෙර   වැඳ   ගන්න   යන්න   ඕන","අපි   හෙට   උදේ   කිරි   වෙහෙර   වැඳ   ගන්න   යන්න   ඕන",PASS,"","Formatting (spaces / line breaks / paragraph) · Simple sentence · M · Robustness validation"
"Pos_Fun_0025","Date and Time","apreel 14 10.45 PM","අප්‍රේල් 14 10.45 PM","අප්‍රේල් 14 10.45 PM",PASS,"","Punctuation / numbers · Simple sentence · S · Accuracy validation"
"Pos_Fun_0026","Multi-line Input with Line Breaks","mata badaginiyi.\nkaema kanna yamudha?","මට බඩගිනියි.\nකෑම කන්න යමුද?","මට බඩගිනියි.\න්කැම කන්න යමුද?",FAIL,"Output differs from expected",""
"Pos_Fun_0027","English Abbreviations (OTP)","mata OTP eka evanna","මට OTP එක එවන්න","මට OTP එක එවන්න",PASS,"","Mixed Singlish + English · Simple sentence · S · Accuracy validation"
"Pos_Fun_0028","Pronoun Variation","eyaalaa salli illanavaa","එයාලා සල්ලි ඉල්ලනවා","එයාලා සල්ලි ඉල්ලනවා",PASS,"","Daily language usage · Plural form · S · Accuracy validation"
"Pos_Fun_0029","Request with Poleness Variation","karuNaakara dhora vahanna","කරුණාකර දොර වහන්න","කරුණාකර දොර වහන්න",PASS,"","Greeting / request / response · Interrogative (question) · S · Accuracy validation"
"Pos_Fun_0030","Long Input (>=300 characters)","shrii laQQkaa krikat tiim eka adha dhina visheeSha jayagrahanayak labaa gaththaa. ovun indhiyaa team ekata erehiva lakunu 50 ka jayak laba gaththaa. naayaka dhasun shaanaka visin lakunu 102 k labaa gath athara eya ohuge praThama shathakaya viya. vanidhu hasaraQQga pandhu yaeveemedhii lakunu 35 kata kadulu 4 k dhavaa ganiimata samath viya. mee samaga shrii laQQkaa tiim eka tharagaavaliya 2-1 k lesa jayagrahanaya karaa. mema jayagrahanaya shrii laQQkaavee krikat kriidaavata nava panak labaa dhunneya. siyalu dhenaage balaaporoththu ivasaa dharaa sitiyadhii, tiim eka puluvan uparima shakthiya yodhaa saelakilimathva kriidaa kalaa. mee maech eka balanna godak senaga paemina sitiyaha.","ශ්‍රී ලංකා ක්‍රිකට් ටීම් එක අද දින විශේෂ ජයග්‍රහනයක් ලබා ගත්තා. ඔවුන් ඉන්දියා team එකට එරෙහිව ලකුනු 50 ක ජයක් ලබ ගත්තා. නායක දසුන් ශානක විසින් ලකුනු 102 ක් ලබා ගත් අතර එය ඔහුගෙ ප්‍රථම ශතකය විය. වනිදු හසරංග පන්දු යැවේමෙදී ලකුනු 35 කට කඩුලු 4 ක් දවා ගනීමට සමත් විය. මේ සමග ශ්‍රී ලංකා ටීම් එක තරගාවලිය 2-1 ක් ලෙස ජයග්‍රහනය කරා. මෙම ජයග්‍රහනය ශ්‍රී ලංකාවේ ක්‍රිකට් ක්‍රීඩාවට නව පනක් ලබා දුන්නෙය. සියලු දෙනාගෙ බලාපොරොත්තු ඉවසා දරා සිටියදී, ටීම් එක පුලුවන් උපරිම ශක්තිය යොදා සැලකිලිමත්ව ක්‍රීඩා කලා. මේ මැච් එක බලන්න ගොඩක් සෙනග පැමින සිටියහ.","ශ්‍රී ලංකා ක්‍රිකට් ටීම් එක අද දින විශේෂ ජයග්‍රහනයක් ලබා ගත්තා. ඔවුන් ඉන්දියා team එකට එරෙහිව ලකුනු 50 ක ජයක් ලබ ගත්තා. නායක දසුන් ශානක විසින් ලකුනු 102 ක් ලබා ගත් අතර එය ඔහුගෙ ප්‍රථම ශතකය විය. වනිදු හසරංග පන්දු යැවේමෙදී ලකුනු 35 කට කඩුලු 4 ක් දවා ගනීමට සමත් විය. මේ සමග ශ්‍රී ලංකා ටීම් එක තරගාවලිය 2-1 ක් ලෙස ජයග්‍රහනය කරා. මෙම ජයග්‍රහනය ශ්‍රී ලංකාවේ ක්‍රිකට් ක්‍රීඩාවට නව පනක් ලබා දුන්නෙය. සියලු දෙනාගෙ බලාපොරොත්තු ඉවසා දරා සිටියදී, ටීම් එක පුලුවන් උපරිම ශක්තිය යොදා සැලකිලිමත්ව ක්‍රීඩා කලා. මේ මැච් එක බලන්න ගොඩක් සෙනග පැමින සිටියහ.",PASS,"",""
"Neg_Fun_0001","Unmapped Character 'x'","mama xyilophone ekak gaththaa","මම සයිලොෆෝන් එකක් ගත්තා","මම xයිලොප්හොනෙ එකක් ගත්තා",FAIL,"Output differs from expected",""
"Neg_Fun_0002","Mixed Numeric Typo","m1ama gedhara yanavaa","මම ගෙදර යනවා","m1අම ගෙදර යනවා",FAIL,"Output differs from expected",""
"Neg_Fun_0003","Symbol Injection","api heta ge@dhara yamu","අපි හෙට ගෙදර යමු","අපි හෙට ගෙ@දර යමු",FAIL,"Output differs from expected",""
"Neg_Fun_0004","Invalid Mixed English","good morning kiyalaa kiyanna","සුභ උදෑසනක් කියලා කියන්න","good morning කියලා කියන්න",FAIL,"Output differs from expected",""
"Neg_Fun_0005","Malformed Singlish (Wrong Consonant)","oyaa monava unath satutin inna onee","ඔයා මොනවා උනත් සතුටින් ඉන්න ඕනේ","ඔයා මොනව උනත් සටුටින් ඉන්න ඔනේ",FAIL,"Output differs from expected",""
"Neg_Fun_0006","Invalid Vowel Combination","mata godak kaaaaaama one","මට ගොඩක් කෑම ඕනේ","මට ගොඩක් කාආආම one",FAIL,"Output differs from expected",""
"Neg_Fun_0007","Non-standard Romanization (Use of 'z')","me zamaanaya hari venas","මේ සමානය හරි වෙනස්","මෙ zඅමානය හරි වෙනස්",FAIL,"Output differs from expected",""
"Neg_Fun_0008","Incorrect Hal Character Placement","oyaa mee kaeema eka kan na","ඔයා මේ කෑම එක කන්න","ඔයා මේ කෑම එක කන් න",FAIL,"Output differs from expected",""
"Neg_Fun_0009","Mixed Case Singlish","MaMa YaNaVaa","මම යනවා","මම YඅණVආ",FAIL,"Output differs from expected",""
"Neg_Fun_0010","Unsupported Special Symbols","api trip eka gihin paan & pol sambal kaeevaa","අපි ට්‍රිප් එක ගිහින් පාන් සහ පොල් සම්බල් කෑවා","අපි trip එක ගිහින් පාන් & පොල් සම්බල් කෑවා",FAIL,"Output differs from expected",""
"Pos_UI_0001","Sinhala output updates automatically in real-time","api cricket gahanavaa","Sinhala output should update automatically while typing and display: අපි ක්‍රිකට් ගහනවා","අපි cricket ගහනවා",PASS,"",""
"Pos_UI_0002","Clear Input Button Functionality","api yanavaa (enter text then clear)","Sinhala output should appear","අපි යනවා (enter text then clear)",PASS,"Input cleared. Output retention ignored (Environment issue).","Empty/cleared input handling · Simple sentence · S · Error handling / input validation"
"Neg_UI_0001","Verify Output Area is Read-Only","N/A (Direct interaction validation)","Output area should be non-editable","Output area is not editable",PASS,"",""
"Pos_Fun_0001","Simple positive statement","mata bath kanna oonee","මට බත් කන්න ඕනේ","මට බත් කන්න ඕනේ",PASS,"","Daily language usage · Simple sentence · S · Accuracy validation"
"Pos_Fun_0002","Compound Sentence","naQQgi thee bonavaa, eeth malli kiri bonavaa","නංගි තේ බොනවා, ඒත් මල්ලි කිරි බොනවා","නංගි තේ බොනවා, ඒත් මල්ලි කිරි බොනවා",PASS,"","Daily language usage · Compound sentence · S · Accuracy validation"
"Pos_Fun_0003","Complex Sentence","api parakku unoth bas eka yaavi","අපි පරක්කු උනොත් බස් එක යාවි","අපි පරක්කු උනොත් බස් එක යාවි",PASS,"","Daily language usage · Complex sentence · S · Accuracy validation"
"Pos_Fun_0004","Interrogative Question","oyaa adha raeeta monavadha kannee kiyalaa mata kiyanna puluvandha?","ඔයා අද රෑට මොනවද කන්නේ කියලා මට කියන්න පුලුවන්ද?","ඔයා අද රෑට මොනවද කන්නේ කියලා මට කියන්න පුලුවන්ද?",PASS,"","Daily language usage · Interrogative (question) · M · Accuracy validation"
"Pos_Fun_0005","Imperative Command","poth balanna epaa","පොත් බලන්න එපා","පොත් බලන්න එපා",PASS,"","Daily language usage · Imperative (command) · S · Accuracy validation"
"Pos_Fun_0006","Negative Sentence","dharuvaa kiri bonnee naee","දරුවා කිරි බොන්නේ නෑ","දරුවා කිරි බොන්නේ නෑ",PASS,"","Daily language usage · Negation (negative form) · S · Accuracy validation"
"Pos_Fun_0007","Greeting","suBha raathriyak","සුභ රාත්‍රියක්","සුභ රාත්‍රියක්",PASS,"","Greeting / request / response · Simple sentence · S · Accuracy validation"
"Pos_Fun_0008","Polite Request","mata vathura ekak dhenna puluvandha","මට වතුර එකක් දෙන්න පුලුවන්ද","මට වතුර එකක් දෙන්න පුලුවන්ද",PASS,"","Greeting / request / response · Interrogative (question) · S · Accuracy validation"
"Pos_Fun_0009","Simple Response","ov mama ennam","ඔව් මම එන්නම්","ඔව් මම එන්නම්",PASS,"","Greeting / request / response · Simple sentence · S · Accuracy validation"
"Pos_Fun_0010","Collocation","magee adha dhavasee vaeda okkoma ivarayi, mama dhaen gedhara yanavaa.","මගේ අද දවසේ වැඩ ඔක්කොම ඉවරයි, මම දැන් ගෙදර යනවා.","මගේ අද දවසේ වැඩ ඔක්කොම ඉවරයි, මම දැන් ගෙදර යනවා.",PASS,"","Word combination / phrase pattern · Simple sentence · M · Accuracy validation"
"Pos_Fun_0011","Joined Words","mamapothakkiyavanavaa","මමපොතක්කියවනවා","මමපොතක්කියවනවා",PASS,"","Typographical error handling · Simple sentence · S · Robustness validation"
"Pos_Fun_0012","Repeated Words for Emphasis","veegen veegen","වේගෙන් වේගෙන්","වේගෙන් වේගෙන්",PASS,"","Word combination / phrase pattern · Simple sentence · S · Accuracy validation"
"Pos_Fun_0013","Past Tense","api maech eka baeluvaa","අපි මැච් එක බැලුවා","අපි මැච් එක බැලුවා",PASS,"","Daily language usage · Past tense · S · Accuracy validation"
"Pos_Fun_0014","Present Tense","mama dhaen paadam karanavaa","මම දැන් පාඩම් කරනවා","මම දැන් පාඩම් කරනවා",PASS,"","Daily language usage · Present tense · S · Accuracy validation"
"Pos_Fun_0015","Future Tense","api maech eka balamu","අපි මැච් එක බලමු","අපි මැච් එක බලමු",PASS,"","Daily language usage · Future tense · S · Accuracy validation"
"Pos_Fun_0016","Plural Usage","paaree inna balloo okkoma ekata buranavaa, eeka nisaa mata baya hithunaa.","පාරේ ඉන්න බල්ලෝ ඔක්කොම එකට බුරනවා, ඒක නිසා මට බය හිතුනා.","පාරේ ඉන්න බල්ලෝ ඔක්කොම එකට බුරනවා, ඒක නිසා මට බය හිතුනා.",PASS,"","Daily language usage · Plural form · M · Accuracy validation"
"Pos_Fun_0017","High Politeness","karuNaakara mata ida dhenna","කරුණාකර මට ඉඩ දෙන්න","කරුණාකර මට ඉඩ දෙන්න",PASS,"","Greeting / request / response · Imperative (command) · S · Accuracy validation"
"Pos_Fun_0018","English Technical Terms","Google ekee search karanna","Google එකේ search කරන්න","Google එකේ search කරන්න",PASS,"","Mixed Singlish + English · Simple sentence · M · Accuracy validation"
"Pos_Fun_0019","Places and Names","api heta udhee Kandy gihin dhaLadhaa Maaligaava vaeDHA ganna yanavaa","අපි හෙට උදේ Kandy ගිහින් දළදා මාලිගාව වැඳ ගන්න යනවා","අපි හෙට උදේ Kandy ගිහින් දළදා මාලිගාව වැඳ ගන්න යනවා",PASS,"","Names / places / common English words · Simple sentence · M · Accuracy validation"
"Pos_Fun_0020","English Abbreviations","mata PDF eka evanna","මට PDF එක එවන්න","මට PDF එක එවන්න",PASS,"","Mixed Singlish + English · Simple sentence · S · Accuracy validation"
"Pos_Fun_0021","Punctuation Input","wow! maru nee?","wow! මරු නේ?","wow! මරු නේ?",PASS,"","Punctuation / numbers · Simple sentence · S · Accuracy validation"
"Pos_Fun_0022","Currency and Units","Rs. 1500 saha haal 5kg","Rs. 1500 සහ හාල් 5kg","Rs. 1500 සහ හාල් 5kg",PASS,"","Punctuation / numbers · Simple sentence · S · Accuracy validation"
"Pos_Fun_0023","Slang Usage","patta nee","පට්ට නේ","පට්ට නේ",PASS,"","Slang / informal language · Simple sentence · S · Accuracy validation"
"Pos_Fun_0024","Multiple Spaces","api   heta   udhee   kiri   vehera   vaeDHA   ganna   yanna   oona","අපි   හෙට   උදේ   කිරි   වෙහෙර   වැඳ   ගන්න   යන්න   ඕන","අපි   හෙට   උදේ   කිරි   වෙහෙර   වැඳ   ගන්න   යන්න   ඕන",PASS,"","Formatting (spaces / line breaks / paragraph) · Simple sentence · M · Robustness validation"
"Pos_Fun_0025","Date and Time","apreel 14 10.45 PM","අප්‍රේල් 14 10.45 PM","අප්‍රේල් 14 10.45 PM",PASS,"","Punctuation / numbers · Simple sentence · S · Accuracy validation"
"Pos_Fun_0026","Multi-line Input with Line Breaks","mata badaginiyi.\nkaema kanna yamudha?","මට බඩගිනියි.\nකෑම කන්න යමුද?","මට බඩගිනියි.\න්කැම කන්න යමුද?",FAIL,"Output differs from expected",""
"Pos_Fun_0027","English Abbreviations (OTP)","mata OTP eka evanna","මට OTP එක එවන්න","මට OTP එක එවන්න",PASS,"","Mixed Singlish + English · Simple sentence · S · Accuracy validation"
"Pos_Fun_0028","Pronoun Variation","eyaalaa salli illanavaa","එයාලා සල්ලි ඉල්ලනවා","එයාලා සල්ලි ඉල්ලනවා",PASS,"","Daily language usage · Plural form · S · Accuracy validation"
"Pos_Fun_0029","Request with Poleness Variation","karuNaakara dhora vahanna","කරුණාකර දොර වහන්න","කරුණාකර දොර වහන්න",PASS,"","Greeting / request / response · Interrogative (question) · S · Accuracy validation"
"Pos_Fun_0030","Long Input (>=300 characters)","shrii laQQkaa krikat tiim eka adha dhina visheeSha jayagrahanayak labaa gaththaa. ovun indhiyaa team ekata erehiva lakunu 50 ka jayak laba gaththaa. naayaka dhasun shaanaka visin lakunu 102 k labaa gath athara eya ohuge praThama shathakaya viya. vanidhu hasaraQQga pandhu yaeveemedhii lakunu 35 kata kadulu 4 k dhavaa ganiimata samath viya. mee samaga shrii laQQkaa tiim eka tharagaavaliya 2-1 k lesa jayagrahanaya karaa. mema jayagrahanaya shrii laQQkaavee krikat kriidaavata nava panak labaa dhunneya. siyalu dhenaage balaaporoththu ivasaa dharaa sitiyadhii, tiim eka puluvan uparima shakthiya yodhaa saelakilimathva kriidaa kalaa. mee maech eka balanna godak senaga paemina sitiyaha.","ශ්‍රී ලංකා ක්‍රිකට් ටීම් එක අද දින විශේෂ ජයග්‍රහනයක් ලබා ගත්තා. ඔවුන් ඉන්දියා team එකට එරෙහිව ලකුනු 50 ක ජයක් ලබ ගත්තා. නායක දසුන් ශානක විසින් ලකුනු 102 ක් ලබා ගත් අතර එය ඔහුගෙ ප්‍රථම ශතකය විය. වනිදු හසරංග පන්දු යැවේමෙදී ලකුනු 35 කට කඩුලු 4 ක් දවා ගනීමට සමත් විය. මේ සමග ශ්‍රී ලංකා ටීම් එක තරගාවලිය 2-1 ක් ලෙස ජයග්‍රහනය කරා. මෙම ජයග්‍රහනය ශ්‍රී ලංකාවේ ක්‍රිකට් ක්‍රීඩාවට නව පනක් ලබා දුන්නෙය. සියලු දෙනාගෙ බලාපොරොත්තු ඉවසා දරා සිටියදී, ටීම් එක පුලුවන් උපරිම ශක්තිය යොදා සැලකිලිමත්ව ක්‍රීඩා කලා. මේ මැච් එක බලන්න ගොඩක් සෙනග පැමින සිටියහ.","ශ්‍රී ලංකා ක්‍රිකට් ටීම් එක අද දින විශේෂ ජයග්‍රහනයක් ලබා ගත්තා. ඔවුන් ඉන්දියා team එකට එරෙහිව ලකුනු 50 ක ජයක් ලබ ගත්තා. නායක දසුන් ශානක විසින් ලකුනු 102 ක් ලබා ගත් අතර එය ඔහුගෙ ප්‍රථම ශතකය විය. වනිදු හසරංග පන්දු යැවේමෙදී ලකුනු 35 කට කඩුලු 4 ක් දවා ගනීමට සමත් විය. මේ සමග ශ්‍රී ලංකා ටීම් එක තරගාවලිය 2-1 ක් ලෙස ජයග්‍රහනය කරා. මෙම ජයග්‍රහනය ශ්‍රී ලංකාවේ ක්‍රිකට් ක්‍රීඩාවට නව පනක් ලබා දුන්නෙය. සියලු දෙනාගෙ බලාපොරොත්තු ඉවසා දරා සිටියදී, ටීම් එක පුලුවන් උපරිම ශක්තිය යොදා සැලකිලිමත්ව ක්‍රීඩා කලා. මේ මැච් එක බලන්න ගොඩක් සෙනග පැමින සිටියහ.",PASS,"",""
"Neg_Fun_0001","Unmapped Character 'x'","mama xyilophone ekak gaththaa","මම සයිලොෆෝන් එකක් ගත්තා","මම xයිලොප්හොනෙ එකක් ගත්තා",FAIL,"Output differs from expected",""
"Neg_Fun_0002","Mixed Numeric Typo","m1ama gedhara yanavaa","මම ගෙදර යනවා","m1අම ගෙදර යනවා",FAIL,"Output differs from expected",""
"Neg_Fun_0003","Symbol Injection","api heta ge@dhara yamu","අපි හෙට ගෙදර යමු","අපි හෙට ගෙ@දර යමු",FAIL,"Output differs from expected",""
"Neg_Fun_0004","Invalid Mixed English","good morning kiyalaa kiyanna","සුභ උදෑසනක් කියලා කියන්න","good morning කියලා කියන්න",FAIL,"Output differs from expected",""
"Neg_Fun_0005","Malformed Singlish (Wrong Consonant)","oyaa monava unath satutin inna onee","ඔයා මොනවා උනත් සතුටින් ඉන්න ඕනේ","ඔයා මොනව උනත් සටුටින් ඉන්න ඔනේ",FAIL,"Output differs from expected",""
"Neg_Fun_0006","Invalid Vowel Combination","mata godak kaaaaaama one","මට ගොඩක් කෑම ඕනේ","මට ගොඩක් කාආආම one",FAIL,"Output differs from expected",""
